company_id	tsx_code	company_name
154	GBRC.V	GOLD BULL RESOURCES
155	FVL.TO	FREEGOLD VENTURES
156	FPC.V	FALCO RESOURCES
157	G.TO	AUGUSTA GOLD
158	GCC.CN	GOLDEN CARIBOO RESOURCES
159	GHRT.V	GREENHEART GOLD
160	GAU.TO	GALIANO GOLD
161	GDX.V	GOLDEX RESOURCES
162	GGD.TO	GOGOLD RESOURCES
163	GG.V	GOLCONDA GOLD
164	GGM.V	GRANADA GOLD MINE
165	GGO.V	GALLEON GOLD
166	GLDC.V	CASSIAR GOLD
167	GGL.V	GGL RESOURCES
168	GGA.V	GOLDGROUP MINING
169	GFG.V	GFG RESOURCES
170	GMTN.TO	GOLD MOUNTAIN MINING
171	GLM.CN	GOLDEN LAKE EXPLORATION
172	GMIN.TO	G MINING VENTURES
173	GLDN.V	GOLDEN RIDGE RESOURCES
174	GOLD.TO	GOLDMINING
175	GOT.V	GOLIATH RESOURCES
176	GPAC.V	GREAT PACIFIC GOLD
177	GPG.V	GRANDE PORTAGE RESOURCES
178	GTWO.TO	G2 GOLDFIELDS
179	GMX.TO	GLOBEX MINING
180	GNG.V	GOLDEN GOLIATH RESOURCES
181	GRC.TO	GOLD SPRINGS RESOURCE
182	GRG.V	GOLDEN ARROW RESOURCES
183	GRSL.V	GR SILVER MINING
184	GSHR.V	GOLDSHORE RESOURCES
185	GMV.V	GMV MINERALS
186	GSVR.V	GUANAJUATO SILVER COMPANY
187	GQ.V	GREAT QUEST GOLD
188	GUN.V	GUNPOINT EXPLORATION
189	GSTM.V	GOLDSTORM METALS
190	GWM.V	GALWAY METALS
191	GTCH.CN	GETCHELL GOLD
192	GQC.V	GOLDQUEST MINING
193	GUS.V	ANGUS GOLD
194	HSLV.CN	HIGHLANDER SILVER
195	HSTR.V	HELIOSTAR METALS
196	HUNT.CN	GOLD HUNTER RESOURCES
197	HWY.V	HIGHWAY 50 GOLD
198	IAU.V	I-80 GOLD
199	IGO.V	INDEPENDENCE GOLD
200	HML.CN	HERITAGE MINING
201	GXX.V	GOLD BASIN RESOURCES
202	IVS.V	INVENTUS MINING
203	JAG.TO	JAGUAR MINING
204	IMG.TO	IAMGOLD
205	JUB.H	JUBILEE GOLD
206	JUGR.V	JUGGERNAUT EXPLORATION
207	JG.V	JAPAN GOLD
208	K.TO	KINROSS GOLD
209	KALO.V	KALO GOLD
210	KAPA.V	KAPA GOLD
211	JZR.V	JZR GOLD
212	KG.V	KLONDIKE GOLD
213	HAMR.CN	SILVER HAMMER MINING
214	KLD.V	KENORLAND MINERALS
215	KLM.V	KERMODE RESOURCES
216	IPT.V	IMPACT SILVER
217	KNT.TO	K92 MINING
218	KOG.CN	KO GOLD
219	KORE.V	KORE MINING
