TICKER,NAME,NAMEALT
GCC.CN,GOLDEN CARIBOO RESOURCES,
GHRT.V,GREENHEART GOLD,
GG.V,GOLCONDA GOLD,
GGA.V,GOLDGROUP MINING,
GGD.TO,GOGOLD RESOURCES,
GGL.V,GGL RESOURCES,
GGM.V,GRANADA GOLD MINE,
GGO.V,GALLEON GOLD,
GLDC.V,CASSIAR GOLD,
GLDN.V,GOLDEN RIDGE RESOURCES,
GLM.CN,GOLDEN LAKE EXPLORATION,
GMIN.TO,G MINING VENTURES,
GMTN.TO,GOLD MOUNTAIN MINING,
GMV.V,GMV MINERALS,
GMX.TO,GLOBEX MINING,
GNG.V,GOLDEN GOLIATH RESOURCES,
GOLD.TO,GOLDMINING,
GOT.V,GOLIATH RESOURCES,
GPAC.V,GREAT PACIFIC GOLD,
GPG.V,GRANDE PORTAGE RESOURCES,
GTWO.TO,G2 GOLDFIELDS,
GQ.V,GREAT QUEST GOLD,
GQC.V,GOLDQUEST MINING,
GRC.TO,GOLD SPRINGS RESOURCE,
GRG.V,GOLDEN ARROW RESOURCES,
GRSL.V,GR SILVER MINING,
GSHR.V,GOLDSHORE RESOURCES,
GSTM.V,GOLDSTORM METALS,
GSVR.V,GUANAJUATO SILVER COMPANY,GUANAJUATO SILVER
GTCH.CN,GETCHELL GOLD,
GUN.V,GUNPOINT EXPLORATION,
GUS.V,ANGUS GOLD,
GWM.V,GALWAY METALS,
GXX.V,GOLD BASIN RESOURCES,
HAMR.CN,SILVER HAMMER MINING,
HML.CN,HERITAGE MINING,
HSLV.CN,HIGHLANDER SILVER,
HSTR.V,HELIOSTAR METALS,
HUNT.CN,GOLD HUNTER RESOURCES,
HWY.V,HIGHWAY 50 GOLD,
IAU.V,I-80 GOLD,
IGO.V,INDEPENDENCE GOLD,
IMG.TO,IAMGOLD,
IPT.V,IMPACT SILVER,
IVS.V,INVENTUS MINING,
JAG.TO,JAGUAR MINING,
JG.V,JAPAN GOLD,
JUB.H,JUBILEE GOLD,JUBILEE GOLD EXPLORATION
JUGR.V,JUGGERNAUT EXPLORATION,
JZR.V,JZR GOLD,
K.TO,KINROSS GOLD,
KALO.V,KALO GOLD,
KAPA.V,KAPA GOLD,
KFR.V,KINGFISHER METALS,
KG.V,KLONDIKE GOLD,
KGC.V,KESTREL GOLD,
KLD.V,KENORLAND MINERALS,
KLM.V,KERMODE RESOURCES,
KNG.V,KINGSMEN RESOURCES,
KNT.TO,K92 MINING,
KOG.CN,KO GOLD,
KORE.V,KORE MINING,
KRI.V,KOBO RESOURCES,
KS.V,KLONDIKE SILVER,
KTN.V,KOOTENAY SILVER,
KTO.V,K2 GOLD,
KUYA.CN,KUYA SILVER,
LAB.V,LABRADOR GOLD,
LECR.CN,LEOCOR MINING,
LEGY.V,LEGACY GOLD MINES,
LFLR.CN,LAFLEUR MINERALS,
LG.V,LAHONTAN GOLD,
LGC.V,LAVRAS GOLD,
LGD.TO,LIBERTY GOLD,
LIO.V,LION ONE METALS,
LME.V,LAURION MINERAL EXPLORATION,
LMG.V,LINCOLN GOLD MINING,LINCOLN MINING
LN.TO,LONCOR GOLD,
LOD.V,LODE GOLD RESOURCES,
LOT.V,TOMAGOLD,
LPK.V,LUPAKA GOLD,
LSTR.V,LODESTAR METALS,
LUCA.V,LUCA MINING,
LUG.TO,LUNDIN GOLD,
LUM.V,LUMINA GOLD,
LVG.V,LAKE VICTORIA GOLD,
MAE.V,MARITIME RESOURCES,
MAG.TO,MAG SILVER,
MAI.V,MINERA ALAMOS,
MAU.V,MONTAGE GOLD,
MEK.V,METALS CREEK RESOURCES,
MEX.V,MEXICAN GOLD MINING,
MFG.V,MAYFAIR GOLD,
MFL.V,MAWSON FINLAND,
MGG.V,MINAURUM GOLD,
MGM.V,MAPLE GOLD MINES,
MIS.CN,MISTANGO RIVER RESOURCES,
MJS.V,MAJESTIC GOLD,
MKO.V,MAKO MINING,
MLM.TO,MCFARLANE LAKE MINING,
MMET.CN,MIATA METALS,
MMG.V,METALLIC MINERALS,
MMN.V,MONARCA MINERALS,
MMY.V,MONUMENT MINING,
MND.TO,MANDALAY RESOURCES,
MNO.TO,MERIDIAN MINING,
MRZ.V,MIRASOL RESOURCES,
MSA.TO,MINEROS,
MSG.V,MITHRIL SILVER AND GOLD,
MSR.V,MINSUD RESOURCES,
MSV.TO,MINCO SILVER,
MTA.V,METALLA ROYALTY & STREAMING,
MTS.V,METALLIS RESOURCES,
MTT.V,MAGNA TERRA MINERALS,
MUN.V,MUNDORO,MUNDORO CAPITAL
MUX.TO,MCEWEN MINING,
NAU.V,NEVGOLD,
NBRK.CN,NEW BREAK RESOURCES,
NCAU.V,NEWCORE GOLD,
NCX.V,NORTHISLE COPPER AND GOLD,
NDM.TO,NORTHERN DYNASTY MINERALS,
NEV.V,NEVADA SUNRISE ,
NEXG.V,NEXGOLD MINING,
NFG.V,NEW FOUND GOLD,
NG.TO,NOVAGOLD RESOURCES,
NGD.TO,NEW GOLD,
NGEX.TO,NGEX MINERALS,
NILI.V,SURGE BATTERY METALS,
NIM.V,NICOLA MINING,
NKG.V,NEVADA KING GOLD,
NFLD.CN,EXPLOITS DISCOVERY,
NL.V,NORTHERN LION GOLD,
NOM.CN,NORSEMONT MINING,
NPR.V,NORTH PEAK RESOURCES,
NRC.V,NATIONS ROYALTY,
NSG.CN,NORTHSTAR GOLD,
NTH.V,NORD PRECIOUS METALS,
NUAG.TO,NEW PACIFIC METALS,
NVO.TO,NOVO RESOURCES,
NVPC.CN,NOVA PACIFIC METALS,
OCG.V,OUTCROP SILVER,
OCO.V,OROCO RESOURCE,
ODV.V,OSISKO DEVELOPMENT,
OGC.TO,OCEANAGOLD,
OGN.V,OROGEN ROYALTIES,
OIII.V,O3 MINING,
OLA.TO,ORLA MINING,
OMG.V,OMAI GOLD MINES,
OMGA.CN,OMEGA PACIFIC RESOURCES,
OMI.V,OROSUR MINING,
OMM.V,OMINECA MINING,
ONAU.V,ONGOLD RESOURCES,
ONYX.V,ONYX GOLD,
OPW.V,OPAWICA EXPLORATIONS,
OR.TO,OSISKO GOLD ROYALTIES,
ORA.TO,AURA MINERALS,
ORE.TO,OREZONE GOLD,
ORV.TO,ORVANA MINERALS,
OZ.V,VALKEA RESOURCES,
PA.V,PALAMINA,
PAAS.TO,PAN AMERICAN SILVER,
PAL.V,PALAMINA,
PAU.CN,PROVENANCE GOLD,
PEX.V,PACIFIC RIDGE,
PGC.V,PLATO GOLD,
PGDC.V,PATAGONIA GOLD,
PGLD.V,P2 GOLD,
PGX.V,PROSPER GOLD,
PJX.V,PJX RESOURCES,
PLY.V,PLAYFAIR MINING,
PNTR.V,PANTERA SILVER,
PPP.V,PROSPECTOR METALS,
PPX.V,PPX MINING,
PRB.TO,PROBE GOLD,
PRG.V,PRECIPITATE GOLD,
PRIZ.CN,PRISMO METALS,
PRU.TO,PERSEUS MINING,
PRYM.TO,PRIME MINING,
PUMA.V,PUMA EXPLORATION,
PX.V,PELANGIO EXPLORATION,
QIM.CN,QUIMBAYA GOLD,
QZM.V,QUARTZ MOUNTAIN RESOURCES,
RAGE.V,RENEGADE GOLD,
RAMP.V,RAMP METALS,
RBX.V,ROBEX RESOURCES,
RDG.V,RIDGELINE MINERALS,
RDS.V,RADISSON MINING,
RDU.V,RADIUS GOLD,
REX.V,OREX MINERALS,
RG.V,ROMIOS GOLD RESOURCES,
RGC.V,RELEVANT GOLD,
RGLD.CN,RED LAKE GOLD,
RIO.V,RIO2,
RK.V,ROCKHAVEN RESOURCES,
RKR.V,ROKMASTER RESOURCES,
RLYG.V,RILEY GOLD,
ROCK.V,EROS RESOURCES,
ROS.V,ROSCAN GOLD,
ROX.V,CANSTAR RESOURCES,
RPX.V,RED PINE EXPLORATION,
RR.CN,RECHARGE RESOURCES,
RRI.V,RIVERSIDE RESOURCES,
RSG.CN,ROCKY SHORE GOLD,
RSLV.V,REYNA SILVER,
RSM.V,RESOURO STRATEGIC METALS,
RSMX.V,REGENCY SILVER,
RTG.TO,RTG MINING,
RUA.V,RUA GOLD,
RUG.V,RUGBY RESOURCES,RUGBY MINING
RUP.TO,RUPERT RESOURCES,
RUSH.V,CAROLINA RUSH,
RVG.V,REVIVAL GOLD,
RYE.V,RHYOLITE RESOURCES,
RYR.V,ROYAL ROAD MINERALS,
SAG.V,STERLING METALS,
SAM.TO,STARCORE INTERNATIONAL MINES,
SANU.CN,SANU GOLD,
SBMI.V,SILVER BULLET MINES,
SCOT.V,SCOTTIE RESOURCES,
SCZ.V,SANTACRUZ SILVER,
SDR.V,STROUD RESOURCES,
SEA.TO,SEABRIDGE GOLD,
SEEM.CN,SERRA ENERGY METALS,
SGC.V,SOLSTICE GOLD,
SGD.V,SNOWLINE GOLD,
SGLD.TO,SABRE GOLD MINES,
SGO.V,SONORO GOLD,
SGN.V,SCORPIO GOLD,
SGU.V,SIGNATURE RESOURCES,
SGZ.V,SEGO RESOURCES,
SHL.V,HOMELAND NICKEL,
SIC.V,SOKOMAN MINERALS,
SIG.V,SITKA GOLD,
SIL.TO,SILVERCREST METALS,
SILV.V,SILVER VALLEY METALS,
SKE.TO,SKEENA GOLD & SILVER,SKEENA RESOURCES
SKP.V,STRIKEPOINT GOLD,
SLI.V,STANDARD LITHIUM,
SLR.TO,SOLITARIO RESOURCES,
SLV.CN,SILVER DOLLAR RESOURCES,
SLVR.V,SILVER TIGER METALS,
SM.V,SIERRA MADRE GOLD AND SILVER,
SMN.V,SUN SUMMIT MINERALS,
SMT.TO,SIERRA METALS,
SNAG.V,SILVER NORTH RESOURCES,
SNG.V,SILVER RANGE RESOURCES,
SOI.V,SIRIOS RESOURCES,
SOMA.V,SOMA GOLD,
SPA.V,SPANISH MOUNTAIN GOLD,
SPMC.V,SOUTH PACIFIC METALS,
SPX.V,STELLAR AFRICAGOLD,STELLAR PACIFIC VENTURES
SRC.V,STAKEHOLDER GOLD,
SRL.V,SALAZAR RESOURCES,
SSL.TO,SANDSTORM GOLD ROYALTIES,
SSRM.TO,SSR MINING,
SSV.V,SOUTHERN SILVER EXPLORATION,
SSVR.V,SUMMA SILVER,
STGO.TO,STEPPE GOLD,
STLR.TO,STLLR GOLD,
STRR.V,STAR ROYALTIES,
STS.V,SOUTH STAR BATTERY METALS,STONESHIELD CAPITAL
STU.V,STUHINI EXPLORATION,
SUP.V,NORTHERN SUPERIOR RESOURCES,
SURG.V,SURGE COPPER,
SVE.V,SILVER ONE RESOURCES,
SVM.TO,SILVERCORP METALS,
SVRS.V,SILVER STORM MINING,
SWA.V,SARAMA RESOURCES,
SWLF.V,SILVER WOLF EXPLORATION,
SXGC.V,SOUTHERN CROSS GOLD,
TAJ.V,TAJIRI RESOURCES,
TAU.V,THESIS GOLD,
TBK.V,TRAILBREAKER RESOURCES,
TBX.V,TURMALINA METALS,
TCO.V,TRANSATLANTIC MINING,
TDG.V,TDG GOLD,
TECT.V,TECTONIC METALS,
TERA.CN,TERRA BALCANICA RESOURCES,
TFPM.TO,TRIPLE FLAG PRECIOUS METALS,
TG.V,TRIFECTA GOLD,
TGOL.V,THUNDER GOLD,
THX.V,THOR EXPLORATIONS,
TIN.V,TINCORP METALS,
TK.V,TINKA RESOURCES,
TLG.TO,TROILUS GOLD,
TSG.V,TRISTAR GOLD,
TM.V,TRIGON METALS,
TMQ.TO,TRILOGY METALS,
TNR.V,TNR GOLD,
TOC.CN,TOCVAN VENTURES,
TORQ.V,TORQ RESOURCES,
TRO.V,TARANIS RESOURCES,
TRX.TO,TRX GOLD,
TSG.V,TRISTAR GOLD,
TSK.TO,TALISKER RESOURCES,
TSLV.V,TIER ONE SILVER,
TUD.V,TUDOR GOLD,
TUF.V,HONEY BADGER SILVER,
TUO.V,TEUTON RESOURCES,
TWR.V,TOWER RESOURCES,
TXG.TO,TOREX GOLD RESOURCES,
UGD.V,UNIGOLD,
USA.TO,AMERICAS GOLD AND SILVER,
USGD.CN,AMERICAN PACIFIC MINING,
VAU.V,VIVA GOLD,
VEIN.V,PASOFINO GOLD,
VG.V,VOLCANIC GOLD MINES,
VGCX.TO,VICTORIA GOLD,
VIO.V,VIOR,
VIPR.V,SILVER VIPER MINERALS,
VLC.V,VELOCITY MINERALS,
VML.V,VISCOUNT MINING,
VOXR.TO,VOX ROYALTY,
VROY.V,VIZSLA ROYALTIES,
VVC.V,VVC EXPLORATION,
VZLA.V,VIZSLA SILVER,
WAM.V,WESTERN ALASKA MINERALS,
WDO.TO,WESDOME GOLD MINES,
WEX.V,WESTERN EXPLORATION,
WG.CN,WESTWARD GOLD,
WGF.V,WESCAN GOLDFIELDS,
WGLD.V,WESTERN GOLD EXPLORATION,
WGO.V,WHITE GOLD,
WGX.TO,WESTGOLD RESOURCES,
WHN.V,WESTHAVEN GOLD,
WHY.V,WEST HIGH YIELD RESOURCES,
WLF.V,WOLFDEN RESOURCES,
WM.TO,WALLBRIDGE MINING,
WPG.V,WEST POINT GOLD,
WPM.TO,WHEATON PRECIOUS METALS,
WRLG.V,WEST RED LAKE GOLD,
