cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
221,219,,,,,,,,,,,,,,,,,2025-03-25 04:03:00+0000
222,220,,,,,,,,,,,,,,,,,2025-03-24 00:00:00+0000
223,221,,,,,,,,,,,,,,,,,2025-03-24 00:00:00+0000
224,222,,,,,,,,,,,,,,,,,2025-03-25 04:14:00+0000
225,223,,,,,,,,,,,,,,,1200.0,CAD,2025-03-24 00:00:00+0000
226,224,,,15.0,USD,14.0,USD,16.0,USD,,,,,,,,,2025-03-25 04:19:00+0000
227,225,,,,,,,,,,,,,,,,,2025-03-25 04:13:00+0000
228,226,,,,,,,,,,,,,,,,,2025-03-24 00:00:00+0000
229,227,,,,,,,,,,,,,,,,,2025-03-25 04:17:00+0000
230,228,,,,,,,1200.0,USD,,,,,,,,,2025-03-24 00:00:00+0000
231,229,,,,,,,1200.0,USD,,,,,,,,,2025-03-24 00:00:00+0000
232,230,,,,,,,,,,,,,,,,,2025-03-24 21:35:00+0000
233,231,,,,,,,,,,,,,,,,,2025-03-25 04:10:00+0000
234,232,,,1250.0,USD,1200.0,USD,1100.0,USD,,,,,,,,,2025-03-24 21:45:00+0000
235,233,,,,,,,,,,,,,,,,,2025-03-24 00:00:00+0000
236,234,,,,,,,1200.0,USD,,,,,,,,,2025-03-24 21:45:00+0000
237,235,,,,,,,,,,,,,,,,,2025-03-25 05:07:00+0000
238,236,,,,,,,,,,,,,,,,,2025-03-25 04:24:00+0000
239,237,,,,,,,1200.0,USD,,,,,,,,,2025-03-24 21:44:00+0000
240,238,,,,,,,1200.0,USD,,,,,,,,,2025-03-24 00:00:00+0000
241,239,,,,,,,1162.0,USD,,,,,,,,,2025-03-25 05:07:00+0000
242,240,,,,,,,,,,,,,,,,,2025-03-25 05:07:00+0000
243,241,,,,,,,,,,,,,,,,,2025-03-25 05:07:00+0000
244,242,,,,,,,844.0,USD,,,,,,,,,2025-03-25 05:07:00+0000
245,243,,,,,,,,,,,,,,,,,2025-03-25 05:41:00+0000
246,244,,,,,,,844.0,USD,,,,,,,,,2025-03-25 05:07:00+0000
247,245,,,,,875.0,USD,965.0,USD,,,,,750.0,USD,750.0,USD,2025-03-25 05:07:00+0000
248,246,,,,,,,,,,,,,,,,,2025-03-25 05:52:00+0000
249,247,,,,,,,,,,,,,,,,,2025-03-25 05:07:00+0000
250,248,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
251,249,,,,,10.0,USD,,,,,,,,,,,2025-03-25 05:48:00+0000
252,250,,,,,,,928.0,USD,,,,,928.0,USD,,,2025-03-25 00:00:00+0000
253,251,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
254,252,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
255,253,,,,,,,998.0,USD,,,,,775.0,USD,,,2025-03-25 00:00:00+0000
256,254,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
257,255,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
258,256,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
259,257,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
260,258,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
261,259,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
262,260,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
263,261,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
264,262,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
265,263,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
266,264,,,,,,,,,,,,,,,,,2025-03-25 05:44:00+0000
267,265,,,,,,,928.0,USD,,,,,786.0,USD,,,2025-03-25 00:00:00+0000
268,266,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
269,267,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
270,268,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
271,269,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
272,270,,,,,,,1200.0,USD,,,,,,,,,2025-03-20 00:00:00+0000
