financial_id,company_id,cash_value,cash_currency,cash_date,investments_json,hedgebook,liabilities,liabilities_currency,other_financial_assets,other_financial_assets_currency,market_cap_value,market_cap_currency,enterprise_value_value,enterprise_value_currency,net_financial_assets,net_financial_assets_currency,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,enterprise_to_revenue,enterprise_to_ebitda,revenue_value,revenue_currency,cost_of_revenue,gross_profit,operating_expense,operating_income,net_income_value,net_income_currency,ebitda,debt_value,debt_currency,last_updated,data_source,shares_outstanding,free_cash_flow
23,24,1444817.0,CAD,2024-12-31 00:00:00+0000,,,200000.0,CAD,,CAD,23317468.0,CAD,15475356.34261,USD,1244817.0,CAD,-3.8333333333333335,,,,1.1616162,,-13.103,,CAD,,,992156.0,,-2110627.0,CAD,-1750223.0,0.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,211976992,-3583050.0
24,22,14555478.0,CAD,2024-12-31 00:00:00+0000,,,1000000.0,CAD,,CAD,215922800.0,CAD,141881753.12742,USD,13555478.0,CAD,-6.541666666666667,-10.466666,0.17444444444444446,,13.083334,,-5.984,,CAD,0.0,0.0,0.0,,-24348030.0,CAD,-29151752.0,0.0,CAD,2025-03-27 05:34:35+0000,Yahoo Finance,136660000,-15905595.0
25,23,9452489.0,CAD,2024-12-31 00:00:00+0000,,,500000.0,CAD,,CAD,32383450.0,CAD,16427681.066710003,USD,8952489.0,CAD,-8.166666666666666,,,,1.1187215,,,,CAD,,,2055099.0,,-2395593.0,CAD,,0.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,117758000,-9455610.0
26,27,25937984.0,CAD,2024-12-31 00:00:00+0000,,,63659624.0,CAD,,CAD,707895552.0,CAD,522759669.4831201,USD,-37721640.0,CAD,-16.0,29.333334,0.1035294117647059,,4.7311826,,-26.992,0.0,CAD,0.0,0.0,0.0,,-613790.0,CAD,-25239884.0,63659624.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,397694016,-110911512.0
27,25,12456429.0,CAD,2024-12-31 00:00:00+0000,,,1500000.0,CAD,,CAD,113469720.0,CAD,71873093.45301001,USD,10956429.0,CAD,98.00001,-32.666668,-0.245000025,,1.0229645,,-43.711,0.0,CAD,0.0,0.0,0.0,,680170.0,CAD,-2425883.0,0.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,120713000,-27135098.0
28,26,186016.0,CAD,2024-12-31 00:00:00+0000,,,6113432.0,CAD,,,31358032.0,CAD,37285448.0,CAD,-5927416.0,CAD,,,,,34.0,,,0.0,CAD,0.0,0.0,0.0,,-5681410.0,CAD,,6113432.0,CAD,2025-03-12 06:43:27+0000,Yahoo Finance,184459008,
29,31,12153.0,CAD,2024-12-31 00:00:00+0000,,,100000.0,CAD,,CAD,5904008.0,CAD,5891858.0,CAD,-87847.0,CAD,-6.5,,,,1.9696969,,-8.659,,CAD,,-72947.0,350319.0,-423266.0,-731691.0,CAD,-680436.0,0.0,CAD,2025-03-18 06:04:40+0000,Yahoo Finance,90830896,-292155.0
30,28,9882000.0,CAD,2024-12-31 00:00:00+0000,,,50653000.0,CAD,,CAD,151434304.0,CAD,134757060.68744,USD,-40771000.0,CAD,-7.000000000000001,-14.0,0.14,12.782325,0.2451839,9.722,-15.627,14405000.0,CAD,0.0,0.0,0.0,,-10430000.0,CAD,-8962000.0,50653000.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,972459008,-181151504.0
31,29,2125783.0,CAD,2024-12-31 00:00:00+0000,,,138610.0,CAD,,CAD,71447224.0,CAD,47800540.0,CAD,1987173.0,CAD,-7.374999999999999,,,,26.81818,,-19.713,,CAD,0.0,0.0,0.0,,-2710850.0,CAD,-2424765.0,138610.0,CAD,2025-03-18 06:04:40+0000,Yahoo Finance,242194000,-1155230.0
32,30,98139000.0,USD,2024-12-31 00:00:00+0000,,,70942000.0,USD,,USD,268853408.0,USD,241656288.0,USD,27197000.0,USD,3.8297873,6.666666,,1.1688364,1.8461537,1.051,4.912,230018000.0,USD,0.0,0.0,0.0,,38540000.0,USD,49197000.0,70942000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,149363008,-16418000.0
33,41,8226477.0,USD,2024-12-31 00:00:00+0000,,,200000.0,USD,,USD,46002676.0,USD,37763396.0,USD,8026477.0,USD,-13.25,,,1327.8302,3.4415584,1090.01,-19.887,34645.0,USD,0.0,34645.0,1618729.0,-1584084.0,-2571899.0,USD,-1898870.0,0.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,86797504,-4883092.0
34,32,252535008.0,USD,2024-12-31 00:00:00+0000,,,520572992.0,USD,,USD,1109140992.0,USD,1667883136.0,USD,-268037984.0,USD,32.449997,4.6690645,0.054537810084033626,2.1722138,1.3900192,3.266,10.957,510604000.0,USD,0.0,0.0,0.0,,24582000.0,USD,152227008.0,520572992.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,170900000,-96320496.0
35,37,3000000.0,CAD,2024-12-31 00:00:00+0000,,,1000000.0,CAD,,CAD,87752552.0,CAD,60121971.73272,USD,2000000.0,CAD,-23.499999999999996,,,,,,,,CAD,,,,,-3500000.0,CAD,-3000000.0,0.0,CAD,2025-03-27 05:34:36+0000,Estimated / Yahoo Finance,89188000,
36,34,28279214.0,CAD,2024-12-31 00:00:00+0000,,,610094528.0,CAD,,CAD,3801932032.0,CAD,3073489101.7540603,USD,-581815314.0,CAD,-113.46666666666667,13.95082,0.12423357664233578,,6.4862804,,-272.638,0.0,CAD,0.0,0.0,0.0,,-21722610.0,CAD,-16193155.0,610094528.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,225634000,-408392640.0
37,35,1912638.0,CAD,2024-12-31 00:00:00+0000,,,9422048.0,CAD,,CAD,36690180.0,CAD,30988774.5449,USD,-7509410.0,CAD,-3.0,-3.6000001,0.18000000000000008,,,,-6.394,0.0,CAD,0.0,0.0,0.0,,-9971550.0,CAD,-6610688.0,9422048.0,CAD,2025-03-27 05:34:36+0000,Yahoo Finance,96553104,-1913601.0
38,36,26371000.0,USD,2024-12-31 00:00:00+0000,,,46942000.0,USD,,USD,606315328.0,USD,644870144.0,USD,-20571000.0,USD,-17.285714285714285,-3.6666667,-0.04653846153846154,1.3290162,,1.414,11.79,456213664.0,USD,0.0,0.0,0.0,,-20403220.0,USD,54694824.0,46942000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,501087008,-111763752.0
39,49,27317000.0,USD,2024-12-31 00:00:00+0000,,,2629000.0,USD,,USD,379120512.0,USD,354394080.0,USD,24688000.0,USD,29.888887,15.823529,0.33624997874999996,5.7288,3.015695,5.355,18.802,66178000.0,USD,0.0,0.0,0.0,,11724020.0,USD,18849000.0,2629000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,140936992,17650376.0
40,38,1668330.0,CAD,2024-12-31 00:00:00+0000,,,150000.0,CAD,,CAD,13045745.0,CAD,11377417.0,CAD,1518330.0,CAD,-5.166666666666667,,,,7.75,,,,CAD,,,782883.0,,-1051517.0,CAD,,0.0,CAD,2025-03-18 06:04:40+0000,Yahoo Finance,84166096,-360166.0
41,45,407675.0,USD,2024-12-31 00:00:00+0000,,,101907.0,USD,,USD,11688240.0,CAD,7888973.9464,USD,305768.0,USD,-16.05669512522811,,,27.131476323119777,1.5151515,25.015080779944288,,359000.0,USD,0.0,0.0,282197.0,,-606613.0,USD,,101907.0,USD,2025-03-27 05:34:36+0000,Yahoo Finance,194804000,163212.0
